year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2020,March,3,9,Punjab,Bahawalnagar,1,0,21.165714285714284,45.291428571428575,3.37,2.6357142857142857
2020,March,3,10,Punjab,Bahawalnagar,2,0,19.354285714285712,59.480000000000004,46.01,2.0942857142857143
2020,March,3,11,Punjab,Bahawalnagar,1,0,17.394285714285715,63.94428571428572,88.0,2.94
2020,March,3,12,Punjab,Bahawalnagar,1,0,21.71857142857143,60.699999999999996,1.63,2.2485714285714287
2020,April,4,13,Punjab,Lahore,2,0,20.25714285714286,73.00857142857143,48.33,2.4757142857142855
2020,April,4,14,Punjab,Lahore,3,0,20.372857142857146,67.68714285714286,8.05,2.665714285714286
2020,April,4,15,Punjab,Lahore,2,0,23.755714285714284,60.878571428571426,0.9199999999999999,2.4014285714285712
2020,April,4,16,Punjab,Lahore,2,0,25.958571428571428,56.68285714285714,19.09,2.8314285714285714
2020,April,4,13,Punjab,Faisalabad,2,0,19.791428571428572,78.16571428571429,58.88,2.315714285714286
2020,April,4,14,Punjab,Faisalabad,2,0,20.617142857142856,69.64142857142858,12.739999999999998,1.9957142857142856
2020,April,4,15,Punjab,Faisalabad,2,0,23.39428571428571,66.97285714285714,3.8899999999999997,2.067142857142857
2020,April,4,16,Punjab,Faisalabad,1,0,25.057142857142857,61.63857142857143,23.430000000000003,2.89
2020,April,4,13,Punjab,Rawalpindi,1,0,16.701428571428572,79.35142857142857,146.95,2.6714285714285713
2020,April,4,14,Punjab,Rawalpindi,2,0,17.354285714285716,73.72857142857143,35.71,2.4042857142857144
2020,April,4,15,Punjab,Rawalpindi,1,0,20.12714285714286,71.81857142857143,17.47,2.5157142857142856
2020,April,4,16,Punjab,Rawalpindi,1,0,22.04,71.17571428571429,81.25,2.4699999999999998
2020,April,4,13,Punjab,Gujranwala,1,0,19.494285714285716,77.08285714285715,68.05000000000001,2.5385714285714287
2020,April,4,14,Punjab,Gujranwala,2,0,19.562857142857144,71.99142857142857,14.4,2.6700000000000004
2020,April,4,15,Punjab,Gujranwala,1,0,22.818571428571428,66.87428571428572,1.23,2.357142857142857
2020,April,4,16,Punjab,Gujranwala,1,0,25.21,62.53142857142858,21.18,2.62
2020,April,4,13,Punjab,Multan,1,0,20.517142857142858,77.53142857142858,77.94,2.3385714285714285
2020,April,4,14,Punjab,Multan,2,0,21.804285714285715,65.87571428571428,12.49,1.9414285714285715
2020,April,4,15,Punjab,Multan,1,0,23.91,67.98,1.61,2.6242857142857146
2020,April,4,16,Punjab,Multan,1,0,26.198571428571427,61.199999999999996,4.529999999999999,2.6757142857142857
2020,April,4,13,Punjab,Sheikhupura,1,0,20.060000000000002,75.21142857142857,56.62,2.3214285714285716
2020,April,4,14,Punjab,Sheikhupura,1,0,20.56142857142857,68.32571428571428,7.16,2.2885714285714287
